token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
10940,DIVISLAB-EQ,DIVISLAB,,-1,1,,NSE,5
20621,PENIND-EQ,PENIND,,-1,1,,NSE,5
25786,KANANIIND-EQ,KANANIIND,,-1,1,,NSE,5
2939,RUBYMILLS-EQ,RUBYMILLS,,-1,1,,NSE,5
1315,GALAXYSURF-EQ,GALAXYSURF,,-1,1,,NSE,5
4870,INDSWFTLAB-EQ,INDSWFTLAB,,-1,1,,NSE,5
29423,MOHITIND-EQ,MOHITIND,,-1,1,,NSE,5
11868,63MOONS-EQ,63MOONS,,-1,1,,NSE,5
5142,CIGNITITEC-EQ,CIGNITITEC,,-1,1,,NSE,5
2277,MRF-EQ,MRF,,-1,1,,NSE,5
10990,RADICO-EQ,RADICO,,-1,1,,NSE,5
10828,SEYAIND-EQ,SEYAIND,,-1,1,,NSE,5
13982,JASH-EQ,JASH,,-1,1,,NSE,5
11452,CCL-EQ,CCL,,-1,1,,NSE,5
24969,WINDMACHIN-EQ,WINDMACHIN,,-1,1,,NSE,5
1389,SUPREMEENG-EQ,SUPREMEENG,,-1,1,,NSE,5
21623,APEX-EQ,APEX,,-1,1,,NSE,5
21095,SPYL-EQ,SPYL,,-1,1,,NSE,5
7838,NETF-EQ,NETF,,-1,1,,NSE,1
21614,ABCAPITAL-EQ,ABCAPITAL,,-1,1,,NSE,5
1360,HIMATSEIDE-EQ,HIMATSEIDE,,-1,1,,NSE,5
2328,CPSEETF-EQ,CPSEETF,,-1,1,,NSE,1
17632,COMPINFO-EQ,COMPINFO,,-1,1,,NSE,5
11457,KOTAKNV20-EQ,KOTAKNV20,,-1,1,,NSE,1
19322,HISARMETAL-EQ,HISARMETAL,,-1,1,,NSE,5
2792,EASEMYTRIP-EQ,EASEMYTRIP,,-1,1,,NSE,5
5258,INDUSINDBK-EQ,INDUSINDBK,,-1,1,,NSE,5
4992,SHARDACROP-EQ,SHARDACROP,,-1,1,,NSE,5
2844,RANEHOLDIN-EQ,RANEHOLDIN,,-1,1,,NSE,5
